"Time (s)","X (hPa)"
1.536650597E2,1.014262466E3
1.546158637E2,1.014262466E3
1.555666307E2,1.014896164E3
1.565175707E2,1.015358734E3
1.574687247E2,1.016556244E3
1.584198297E2,1.017160721E3
1.593708667E2,1.018048553E3
1.603219747E2,1.018280563E3
1.612729377E2,1.018280563E3
1.622239457E2,1.018174133E3
1.631747437E2,1.018119736E3
1.641256217E2,1.018046646E3
1.650765627E2,1.018119736E3
1.660275687E2,1.019093323E3
1.669785447E2,1.021165848E3
1.679295647E2,1.024590759E3
1.688805937E2,1.029113770E3
1.698316077E2,1.032338715E3
1.707826287E2,1.032338715E3
1.717336017E2,1.032023468E3
1.726847517E2,1.030149765E3
1.736359037E2,1.027101364E3
1.745869387E2,1.024692917E3
1.755379747E2,1.024692917E3
1.764888967E2,1.025466309E3
1.774392907E2,1.027188797E3
1.783896827E2,1.029230042E3
1.793403567E2,1.029980011E3
1.802912087E2,1.029980011E3
1.812419817E2,1.029698563E3
1.821928087E2,1.027702179E3
1.831437097E2,1.025619965E3
1.840946167E2,1.024750290E3
1.850455637E2,1.024397964E3
1.859967617E2,1.024170074E3
1.869480557E2,1.024123077E3
1.878991927E2,1.024123077E3
1.888501547E2,1.024072189E3
1.898012017E2,1.024020462E3
1.907522697E2,1.023935471E3
1.917034697E2,1.023464966E3
1.926546267E2,1.023271942E3
1.936058477E2,1.023264236E3
1.945572387E2,1.023254471E3
1.955084107E2,1.023254471E3
1.964595877E2,1.023629303E3
1.974106647E2,1.023764725E3
1.983618497E2,1.023764725E3
1.993129747E2,1.023713074E3
2.002637887E2,1.023512726E3
2.012146937E2,1.023024139E3
2.021656397E2,1.023024139E3
2.031164967E2,1.024522400E3
2.040675597E2,1.026142731E3
2.050184487E2,1.028266296E3
2.059695237E2,1.029673920E3
2.069205737E2,1.030445404E3
2.078720047E2,1.030879364E3
2.088235567E2,1.030879364E3
2.097749907E2,1.029247971E3
2.107264267E2,1.027857590E3
2.116779827E2,1.027031631E3
2.126294807E2,1.026481705E3
2.135809977E2,1.024501114E3
2.145324377E2,1.024500122E3
2.154838737E2,1.024500122E3
2.164353207E2,1.024500122E3
2.173865287E2,1.024065247E3
2.183375917E2,1.023935242E3
2.192886547E2,1.023884201E3
2.202397187E2,1.023815994E3
2.211910257E2,1.023575134E3
2.221425447E2,1.023299637E3
2.230941267E2,1.023085938E3
2.240457387E2,1.023014374E3
2.249973497E2,1.023014374E3
2.259490397E2,1.023836746E3
2.269008027E2,1.025434418E3
2.278523007E2,1.027311020E3
2.288034057E2,1.027473984E3
2.297546557E2,1.027473984E3
2.307061327E2,1.026948776E3
2.316575467E2,1.025703888E3
2.326090837E2,1.023973694E3
2.335607597E2,1.023674622E3
2.345125557E2,1.023408508E3
2.354642977E2,1.023162537E3
2.364161297E2,1.023142471E3
2.373679347E2,1.022884369E3
2.383198477E2,1.022639160E3
2.392718547E2,1.022639160E3
2.402236607E2,1.022782516E3
2.411753967E2,1.022782516E3
2.421270177E2,1.022782516E3
2.430787027E2,1.022858276E3
2.440307737E2,1.022858276E3
2.449827997E2,1.022747116E3
2.459348597E2,1.022747116E3
2.468868827E2,1.022771149E3
2.478388427E2,1.022904129E3
2.487907887E2,1.022904129E3
2.497426917E2,1.022658920E3
2.506947197E2,1.022548676E3
2.516467927E2,1.022548676E3
2.525988867E2,1.022605743E3
2.535509617E2,1.022977753E3
2.545031597E2,1.023199768E3
2.554553267E2,1.023389740E3
2.564075527E2,1.024137497E3
2.573596987E2,1.024320068E3
2.583118797E2,1.024362183E3
2.592641597E2,1.024362183E3
2.602163267E2,1.024362183E3
2.611684597E2,1.024013443E3
2.621205307E2,1.023477249E3
2.630726287E2,1.023378983E3
2.640246617E2,1.023327332E3
2.649768107E2,1.023327332E3
2.659290797E2,1.023339920E3
2.668813127E2,1.023339920E3
2.678335587E2,1.023144226E3
2.687859497E2,1.023144226E3
2.697383197E2,1.023138962E3
2.706907977E2,1.023138962E3
2.716432137E2,1.023133545E3
2.725956067E2,1.023133545E3
2.735475957E2,1.023286667E3
2.744996187E2,1.023286667E3
2.754515717E2,1.023123703E3
2.764035877E2,1.022984543E3
2.773555157E2,1.022984390E3
2.783074777E2,1.022984390E3
2.792595187E2,1.023785858E3
2.802115657E2,1.024829483E3
2.811634447E2,1.025334778E3
2.821154757E2,1.025334778E3
2.830676697E2,1.025254669E3
2.840198177E2,1.024702377E3
