Time (s),X (hPa),X (hPa)_kalman,X (hPa)_kalman_lowpass
118.4435464,1015.046463,1014.9849121452986,1014.9925227976362
119.3918934,1014.799881,1014.8874882517631,1014.8694532318442
120.3403554,1014.452972,1014.6587067522958,1014.6434724854885
121.2887944,1014.132538,1014.3817035546933,1014.4075570893928
122.2372554,1014.100418,1014.2336033576469,1014.2344871403266
123.1857794,1014.100418,1014.1634754749181,1014.1499111860119
124.1343034,1014.105682,1014.1330322917178,1014.1369310170846
125.0829804,1014.189987,1014.1630261371469,1014.1597078266022
126.0315094,1014.189987,1014.1772287170002,1014.1855581248626
126.9800094,1014.217529,1014.1984463084947,1014.1945523028087
127.9286434,1014.156494,1014.176359183125,1014.1796389685513
128.8773344,1014.13559,1014.154910735941,1014.1448454934149
129.8259524,1014.044037,1014.0965535362714,1014.1033594596197
130.7744804,1014.044037,1014.0689204409991,1014.071997619931
131.7230294,1014.061737,1014.0651224425096,1014.0616390359403
132.6716074,1014.07486,1014.0702649726225,1014.0701827890983
133.6201434,1014.100342,1014.086099925182,1014.0850656639877
134.5686704,1014.100342,1014.0935980360439,1014.0938702306179
135.5173814,1014.088135,1014.0907217141564,1014.0933260338039
136.4660284,1014.088135,1014.0893597283655,1014.0888498948494
137.4147704,1014.088135,1014.0887148056595,1014.0868405270095
138.3634794,1014.090347,1014.0895662482948,1014.0887842925567
139.3121874,1014.090347,1014.0899694204071,1014.0924718995687
140.2608344,1014.104309,1014.0975190160569,1014.0965079532207
141.2095264,1014.104309,1014.10109387395,1014.1009239673276
142.1581984,1014.099274,1014.1001516396826,1014.1026897860463
143.1069254,1014.094238,1014.0970383538695,1014.0924982278706
144.0558204,1014.024277,1014.0587385926831,1014.0589034619139
145.0046974,1013.933868,1013.9929804303471,1013.9977352475373
145.9534944,1013.852005,1013.9187511574108,1013.9179478607036
146.9022654,1013.774338,1013.8427279203793,1013.8374995550593
147.8510954,1013.700943,1013.7680724581048,1013.7722186519172
148.8000844,1013.69133,1013.727676828338,1013.7272410312925
149.7490994,1013.67363,1013.6992299709843,1013.6978602783774
150.6980744,1013.654327,1013.6755734360626,1013.6775890670142
151.6471084,1013.654327,1013.6643716771192,1013.665064434076
152.5960624,1013.668365,1013.6664582807684,1013.6638481410596
153.5451104,1013.695679,1013.6818423559491,1013.6769168786105
154.4942174,1013.699799,1013.6913120812466,1013.7024130271008
155.4433864,1013.774872,1013.7353209776005,1013.7346156347837
156.3926464,1013.816147,1013.7778825019079,1013.7679054561315
157.3416014,1013.816147,1013.7980360847181,1013.7990023561516
158.2903194,1013.832321,1013.8160946493109,1013.8262052395105
159.2391214,1013.885574,1013.8526665289571,1013.8486347998079
160.1877114,1013.888855,1013.8717191526011,1013.8676713803352
161.1365414,1013.896408,1013.8847255002702,1013.8879548608626
162.0852804,1013.948822,1013.9184551959236,1013.9135507446883
163.0345104,1013.950729,1013.9354550505346,1013.9401835734116
163.9835634,1013.950729,1013.9435047617055,1013.9515152445646
164.9328534,1013.935547,1013.9393150654331,1013.9269373504949
165.8818574,1013.79776,1013.8647725932411,1013.8581936432109
166.8308424,1013.635025,1013.7438062490316,1013.7616365155036
167.7796174,1013.612518,1013.6746692449219,1013.6736253994948
168.7284394,1013.612518,1013.6419317346882,1013.6296936498312
169.6771944,1013.642654,1013.6423041825448,1013.642264181695
170.6265174,1013.716736,1013.6814912241142,1013.6938210970887
171.5757904,1013.821487,1013.7551888853624,1013.7503753967396
172.5251014,1013.821487,1013.7900859418718,1013.7842696468465
