Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Velocity (m/s)_kalman,Velocity (m/s)_kalman_lowpass
730.9324291,51.81547487,4.693758549,2.418340309,0.07565360516,250.8688321,6.000906205,6.000906205,0.08254352979869894,0.08087693187609331
731.932359,51.81547418,4.693757914,2.419427262,0.03003951907,252.6963448,6.000906205,6.000906205,0.053048496750162655,0.06293887537110891
732.9312943,51.81547436,4.693758007,2.418269096,0.0237550661,251.4466387,6.000906205,6.000906205,0.03659240714365647,0.03729114881250279
733.9312358,51.81547554,4.693756464,2.41847257,0.02698549069,253.554599,6.000906205,6.000906205,0.031195556232001365,0.02060927862074141
734.9311794,51.81547556,4.693755833,2.420659284,0.01507772971,254.7160317,6.000906205,6.000906205,0.02214108935662082,0.02343671655595319
735.931128,51.81547617,4.69375668,2.420929454,0.03528529406,254.9128231,6.000906205,6.000906205,0.029525072915858784,0.03904488382197058
736.9310818,51.81547505,4.693757195,2.42206197,0.07134381682,257.6932566,6.000906205,6.000906205,0.053017473140621496,0.04927789178580512
737.9310375,51.81547426,4.693756172,2.420115285,0.04202723131,263.604676,6.000906205,6.000906205,0.04684351534884239,0.04371616032015702
738.930997,51.81547391,4.693754362,2.418478661,0.01953463815,264.8462405,6.000906205,6.000906205,0.031502282854441746,0.0316378358811396
739.9309587,51.81547379,4.69375368,2.417679852,0.04225527868,264.7547979,6.000906205,6.000906205,0.037542963609252744,0.03222167026724298
740.9309258,51.81547458,4.693745772,2.417380244,0.03035219386,265.2958582,6.000906205,6.000906205,0.0335034247550488,0.05269198346453688
741.9308939,51.81547442,4.693746584,2.418785372,0.1391420066,262.8476998,6.000906205,6.000906205,0.09284771904074024,0.07864145161966196
742.9308647,51.81547623,4.693744271,2.418644361,0.09674178064,261.0781617,6.000906205,6.000906205,0.09503527526614262,0.08772604602121552
743.9308391,51.81547611,4.693742847,2.421939891,0.03435911611,260.6952886,6.000906205,6.000906205,0.060949396971018345,0.0720895036686412
744.930815,51.81547539,4.69374192,2.422049717,0.02647901513,259.8966483,6.000906205,6.000906205,0.04158506579688566,0.04603177181907738
