"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.219291543E2,5.181555654E1,4.694282977E0,2.584175110E0,6.842847466E-1,1.054460450E2,3.200483309E1,3.200483309E1
1.229291531E2,5.181555654E1,4.694282977E0,2.584175110E0,0.000000000E0,1.054460450E2,3.200483309E1,3.200483309E1
1.239291530E2,5.181555654E1,4.694282977E0,2.584175110E0,0.000000000E0,1.054460450E2,3.200483309E1,3.200483309E1
1.249291519E2,5.181556011E1,4.694292172E0,2.584175110E0,1.636937633E-2,1.051782948E2,3.200483309E1,3.200483309E1
1.259291511E2,5.181556588E1,4.694290946E0,2.584175110E0,1.452047825E-1,1.046348986E2,3.200483309E1,3.200483309E1
1.269291501E2,5.181556639E1,4.694283132E0,2.584175110E0,1.325734705E-1,1.042009015E2,3.200483309E1,3.200483309E1
1.279291497E2,5.181556746E1,4.694267931E0,2.584175110E0,1.342660487E-1,8.924955596E1,3.200483309E1,3.200483309E1
1.289291486E2,5.181558242E1,4.694247752E0,2.584175110E0,2.003270388E-1,5.341670335E1,3.351383202E1,3.351383202E1
1.299291482E2,5.181560296E1,4.694225678E0,2.584175110E0,2.003270388E-1,2.016741418E1,3.200483309E1,3.200483309E1
1.309291474E2,5.181561513E1,4.694231084E0,2.584175110E0,2.162421197E-1,1.586298457E1,3.200483309E1,3.200483309E1
1.319291463E2,5.181562353E1,4.694229105E0,2.584175110E0,3.988879919E-2,1.428773719E1,3.200483309E1,3.200483309E1
1.329291456E2,5.181563005E1,4.694227718E0,2.584175110E0,4.011106119E-2,3.173307937E1,3.200483309E1,3.200483309E1
1.339291453E2,5.181563022E1,4.694225869E0,2.584175110E0,2.360368222E-1,3.714857927E1,3.200483309E1,3.200483309E1
1.349291450E2,5.181563422E1,4.694227378E0,2.584175110E0,2.360368222E-1,2.561078809E1,3.200483309E1,3.200483309E1
1.359291441E2,5.181564308E1,4.694231965E0,2.584175110E0,3.854404390E-1,2.241240687E1,3.200483309E1,3.200483309E1
1.369291434E2,5.181564864E1,4.694244190E0,2.584175110E0,3.854404390E-1,7.036161038E1,3.200483309E1,3.200483309E1
1.379291421E2,5.181565346E1,4.694247617E0,2.584175110E0,2.847896516E-1,6.347783837E1,3.200483309E1,3.200483309E1
1.389291412E2,5.181565393E1,4.694250046E0,2.584175110E0,2.412407696E-1,8.361424691E1,3.200483309E1,3.200483309E1
1.399291412E2,5.181565393E1,4.694250046E0,2.584175110E0,0.000000000E0,8.361424691E1,3.200483309E1,3.200483309E1
1.409291401E2,5.181565393E1,4.694250046E0,2.584175110E0,0.000000000E0,8.361424691E1,3.200483309E1,3.200483309E1
1.419291397E2,5.181565393E1,4.694250046E0,2.584175110E0,0.000000000E0,8.361424691E1,3.200483309E1,3.200483309E1
1.429291388E2,5.181565393E1,4.694250046E0,2.584175110E0,0.000000000E0,8.361424691E1,3.200483309E1,3.200483309E1
1.439291379E2,5.181565393E1,4.694250046E0,2.584175110E0,0.000000000E0,8.361424691E1,3.200483309E1,3.200483309E1
1.449291368E2,5.181565393E1,4.694250046E0,2.584175110E0,0.000000000E0,8.361424691E1,3.200483309E1,3.200483309E1
1.459291359E2,5.181564621E1,4.694263563E0,2.584175110E0,1.819139346E-2,1.047341481E2,3.200483309E1,3.200483309E1
1.469291356E2,5.181563270E1,4.694281533E0,2.584175110E0,2.138677686E-1,1.001897978E2,3.200483309E1,3.200483309E1
1.479291347E2,5.181562162E1,4.694291499E0,2.584175110E0,3.106137216E-1,9.118734893E1,3.200483309E1,3.200483309E1
1.489291346E2,5.181561505E1,4.694299967E0,2.584175110E0,4.576742947E-1,9.104601866E1,3.200483309E1,3.200483309E1
